Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,param_random_state,param_warm_start,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
2598,11,0.7831942149957974,0.02631728329190292,0.7518659591674804,0.024757660088846778,0.00799555778503418,0.001932153434627624,False,balanced,gini,14,sqrt,200,75,10,True,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 14, 'max_features': 'sqrt', 'max_leaf_nodes': 200, 'n_estimators': 75, 'random_state': 10, 'warm_start': True}",0.8091397849462365,0.7849462365591398,0.7688172043010753,0.8118279569892473,0.7412398921832885
3390,11,0.7831942149957974,0.02631728329190292,1.4400169849395752,0.06970307787671645,0.019434070587158202,0.004410218105960067,False,balanced_subsample,gini,14,sqrt,200,75,10,True,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 14, 'max_features': 'sqrt', 'max_leaf_nodes': 200, 'n_estimators': 75, 'random_state': 10, 'warm_start': True}",0.8091397849462365,0.7849462365591398,0.7688172043010753,0.8118279569892473,0.7412398921832885
3391,11,0.7831942149957974,0.02631728329190292,1.5289041519165039,0.13887508967875492,0.01658921241760254,0.003953214896671941,False,balanced_subsample,gini,14,sqrt,200,75,10,False,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 14, 'max_features': 'sqrt', 'max_leaf_nodes': 200, 'n_estimators': 75, 'random_state': 10, 'warm_start': False}",0.8091397849462365,0.7849462365591398,0.7688172043010753,0.8118279569892473,0.7412398921832885
4204,15,0.7810465756600875,0.026710104408123776,0.4277769088745117,0.019144068347677012,0.004439258575439453,6.41599590826126e-05,False,,gini,15,sqrt,200,50,10,True,"{'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'max_leaf_nodes': 200, 'n_estimators': 50, 'random_state': 10, 'warm_start': True}",0.8225806451612904,0.7876344086021505,0.7580645161290323,0.7903225806451613,0.7466307277628033
4205,15,0.7810465756600875,0.026710104408123776,0.43247084617614745,0.013118632356464007,0.004389810562133789,0.0002111415014371125,False,,gini,15,sqrt,200,50,10,False,"{'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'max_leaf_nodes': 200, 'n_estimators': 50, 'random_state': 10, 'warm_start': False}",0.8225806451612904,0.7876344086021505,0.7580645161290323,0.7903225806451613,0.7466307277628033
2887,17,0.7799742051415819,0.020184859154026544,0.9041073799133301,0.044797219367865314,0.00561671257019043,0.0008443164292765801,False,balanced,entropy,15,sqrt,200,75,10,False,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'max_leaf_nodes': 200, 'n_estimators': 75, 'random_state': 10, 'warm_start': False}",0.7903225806451613,0.7849462365591398,0.7634408602150538,0.8091397849462365,0.7520215633423181
2886,17,0.7799742051415819,0.020184859154026544,0.9491540908813476,0.013860913728048554,0.006035661697387696,0.0017371311221262536,False,balanced,entropy,15,sqrt,200,75,10,True,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'max_leaf_nodes': 200, 'n_estimators': 75, 'random_state': 10, 'warm_start': True}",0.7903225806451613,0.7849462365591398,0.7634408602150538,0.8091397849462365,0.7520215633423181
3678,17,0.7799742051415819,0.020184859154026544,2.5450798511505126,0.057805419685457056,0.02015228271484375,0.004386248204005532,False,balanced_subsample,entropy,15,sqrt,200,75,10,True,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'max_leaf_nodes': 200, 'n_estimators': 75, 'random_state': 10, 'warm_start': True}",0.7903225806451613,0.7849462365591398,0.7634408602150538,0.8091397849462365,0.7520215633423181
3151,17,0.7799742051415819,0.020184859154026544,2.555101442337036,0.11057557777108945,0.01612100601196289,0.0031688525692946897,False,balanced,log_loss,15,sqrt,200,75,10,False,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 15, 'max_features': 'sqrt', 'max_leaf_nodes': 200, 'n_estimators': 75, 'random_state': 10, 'warm_start': False}",0.7903225806451613,0.7849462365591398,0.7634408602150538,0.8091397849462365,0.7520215633423181
3150,17,0.7799742051415819,0.020184859154026544,2.656256580352783,0.12385877024970374,0.021364450454711914,0.014442485350439871,False,balanced,log_loss,15,sqrt,200,75,10,True,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 15, 'max_features': 'sqrt', 'max_leaf_nodes': 200, 'n_estimators': 75, 'random_state': 10, 'warm_start': True}",0.7903225806451613,0.7849462365591398,0.7634408602150538,0.8091397849462365,0.7520215633423181
